step:100 smpl:2K ep:10 epch:0.16 loss:1089.237 grdn:745.354 lr:1.3e-05 updt_s:0.422 data_s:0.068 smp/s:49 mem_gb:6.28 losses_after_forward:1088.680 losses_after_in_ep_bound:983.146 losses_after_rm_padding:983.146
step:3K smpl:62K ep:250 epch:4.17 loss:0.080 grdn:5.800 lr:9.0e-05 updt_s:0.458 data_s:0.006 smp/s:52 mem_gb:6.29 losses_after_forward:0.088 losses_after_in_ep_bound:0.072 losses_after_rm_padding:0.072
step:3K smpl:65K ep:260 epch:4.33 loss:0.077 grdn:5.453 lr:8.9e-05 updt_s:0.461 data_s:0.006 smp/s:51 mem_gb:6.29 losses_after_forward:0.086 losses_after_in_ep_bound:0.070 losses_after_rm_padding:0.070
step:3K smpl:67K ep:270 epch:4.49 loss:0.079 grdn:5.977 lr:8.8e-05 updt_s:0.461 data_s:0.006 smp/s:51 mem_gb:6.29 losses_after_forward:0.087 losses_after_in_ep_bound:0.072 losses_after_rm_padding:0.072
step:3K smpl:70K ep:279 epch:4.65 loss:0.074 grdn:5.989 lr:8.7e-05 updt_s:0.460 data_s:0.006 smp/s:51 mem_gb:6.29 losses_after_forward:0.084 losses_after_in_ep_bound:0.067 losses_after_rm_padding:0.067
step:3K smpl:72K ep:289 epch:4.81 loss:0.077 grdn:5.866 lr:8.6e-05 updt_s:0.460 data_s:0.006 smp/s:52 mem_gb:6.29 losses_after_forward:0.085 losses_after_in_ep_bound:0.070 losses_after_rm_padding:0.070
step:3K smpl:74K ep:299 epch:4.98 loss:0.071 grdn:5.856 lr:8.5e-05 updt_s:0.460 data_s:0.006 smp/s:52 mem_gb:6.29 losses_after_forward:0.081 losses_after_in_ep_bound:0.064 losses_after_rm_padding:0.064
step:3K smpl:77K ep:308 epch:5.14 loss:0.070 grdn:5.204 lr:8.4e-05 updt_s:0.455 data_s:0.018 smp/s:51 mem_gb:6.24 losses_after_forward:0.080 losses_after_in_ep_bound:0.063 losses_after_rm_padding:0.063
step:3K smpl:79K ep:318 epch:5.30 loss:0.065 grdn:5.627 lr:8.3e-05 updt_s:0.461 data_s:0.006 smp/s:51 mem_gb:6.29 losses_after_forward:0.073 losses_after_in_ep_bound:0.058 losses_after_rm_padding:0.058
step:3K smpl:82K ep:327 epch:5.46 loss:0.065 grdn:5.707 lr:8.2e-05 updt_s:0.461 data_s:0.006 smp/s:51 mem_gb:6.29 losses_after_forward:0.075 losses_after_in_ep_bound:0.059 losses_after_rm_padding:0.059
step:4K smpl:84K ep:337 epch:5.62 loss:0.063 grdn:5.183 lr:8.1e-05 updt_s:0.460 data_s:0.006 smp/s:51 mem_gb:6.29 losses_after_forward:0.072 losses_after_in_ep_bound:0.058 losses_after_rm_padding:0.058
step:4K smpl:86K ep:347 epch:5.78 loss:0.063 grdn:5.410 lr:8.0e-05 updt_s:0.460 data_s:0.006 smp/s:52 mem_gb:6.29 losses_after_forward:0.072 losses_after_in_ep_bound:0.057 losses_after_rm_padding:0.057
step:4K smpl:89K ep:356 epch:5.94 loss:0.064 grdn:5.432 lr:7.9e-05 updt_s:0.460 data_s:0.006 smp/s:51 mem_gb:6.29 losses_after_forward:0.070 losses_after_in_ep_bound:0.058 losses_after_rm_padding:0.058
step:4K smpl:91K ep:366 epch:6.10 loss:0.062 grdn:5.778 lr:7.8e-05 updt_s:0.456 data_s:0.018 smp/s:51 mem_gb:6.24 losses_after_forward:0.070 losses_after_in_ep_bound:0.056 losses_after_rm_padding:0.056
step:4K smpl:94K ep:376 epch:6.26 loss:0.057 grdn:5.373 lr:7.7e-05 updt_s:0.461 data_s:0.006 smp/s:51 mem_gb:6.29 losses_after_forward:0.065 losses_after_in_ep_bound:0.052 losses_after_rm_padding:0.052
step:4K smpl:96K ep:385 epch:6.42 loss:0.054 grdn:5.015 lr:7.6e-05 updt_s:0.461 data_s:0.006 smp/s:51 mem_gb:6.29 losses_after_forward:0.062 losses_after_in_ep_bound:0.049 losses_after_rm_padding:0.049
step:4K smpl:98K ep:395 epch:6.58 loss:0.056 grdn:5.613 lr:7.5e-05 updt_s:0.458 data_s:0.006 smp/s:52 mem_gb:6.29 losses_after_forward:0.063 losses_after_in_ep_bound:0.051 losses_after_rm_padding:0.051
step:4K smpl:101K ep:404 epch:6.74 loss:0.054 grdn:5.028 lr:7.4e-05 updt_s:0.462 data_s:0.006 smp/s:51 mem_gb:6.29 losses_after_forward:0.062 losses_after_in_ep_bound:0.048 losses_after_rm_padding:0.048
step:4K smpl:103K ep:414 epch:6.90 loss:0.053 grdn:5.477 lr:7.3e-05 updt_s:0.462 data_s:0.006 smp/s:51 mem_gb:6.29 losses_after_forward:0.060 losses_after_in_ep_bound:0.047 losses_after_rm_padding:0.047
step:4K smpl:106K ep:424 epch:7.06 loss:0.052 grdn:5.440 lr:7.2e-05 updt_s:0.457 data_s:0.020 smp/s:50 mem_gb:6.24 losses_after_forward:0.060 losses_after_in_ep_bound:0.047 losses_after_rm_padding:0.047
step:4K smpl:108K ep:433 epch:7.22 loss:0.054 grdn:5.402 lr:7.0e-05 updt_s:0.477 data_s:0.007 smp/s:50 mem_gb:6.29 losses_after_forward:0.060 losses_after_in_ep_bound:0.049 losses_after_rm_padding:0.049
step:5K smpl:110K ep:443 epch:7.38 loss:0.051 grdn:5.002 lr:6.9e-05 updt_s:0.463 data_s:0.006 smp/s:51 mem_gb:6.29 losses_after_forward:0.059 losses_after_in_ep_bound:0.046 losses_after_rm_padding:0.046
step:5K smpl:113K ep:453 epch:7.54 loss:0.047 grdn:5.404 lr:6.8e-05 updt_s:0.479 data_s:0.006 smp/s:49 mem_gb:6.29 losses_after_forward:0.055 losses_after_in_ep_bound:0.042 losses_after_rm_padding:0.042
step:5K smpl:115K ep:462 epch:7.70 loss:0.048 grdn:5.162 lr:6.7e-05 updt_s:0.478 data_s:0.007 smp/s:50 mem_gb:6.29 losses_after_forward:0.054 losses_after_in_ep_bound:0.043 losses_after_rm_padding:0.043
step:5K smpl:118K ep:472 epch:7.86 loss:0.046 grdn:4.876 lr:6.6e-05 updt_s:0.477 data_s:0.007 smp/s:50 mem_gb:6.29 losses_after_forward:0.053 losses_after_in_ep_bound:0.041 losses_after_rm_padding:0.041
step:5K smpl:120K ep:481 epch:8.02 loss:0.047 grdn:5.623 lr:6.4e-05 updt_s:0.472 data_s:0.021 smp/s:49 mem_gb:6.24 losses_after_forward:0.054 losses_after_in_ep_bound:0.043 losses_after_rm_padding:0.043
