step:100 smpl:2K ep:10 epch:0.16 loss:1089.237 grdn:745.354 lr:1.3e-05 updt_s:0.422 data_s:0.068 smp/s:49 mem_gb:6.28 losses_after_forward:1088.680 losses_after_in_ep_bound:983.146 losses_after_rm_padding:983.146
step:11K smpl:257K ep:1K epch:17.17 loss:0.020 grdn:5.468 lr:5.5e-06 updt_s:0.456 data_s:0.017 smp/s:51 mem_gb:6.24 losses_after_forward:0.027 losses_after_in_ep_bound:0.018 losses_after_rm_padding:0.018
step:11K smpl:259K ep:1K epch:17.33 loss:0.018 grdn:4.274 lr:5.1e-06 updt_s:0.460 data_s:0.006 smp/s:52 mem_gb:6.29 losses_after_forward:0.026 losses_after_in_ep_bound:0.017 losses_after_rm_padding:0.017
step:11K smpl:262K ep:1K epch:17.49 loss:0.021 grdn:4.536 lr:4.7e-06 updt_s:0.461 data_s:0.005 smp/s:52 mem_gb:6.29 losses_after_forward:0.027 losses_after_in_ep_bound:0.019 losses_after_rm_padding:0.019
step:11K smpl:264K ep:1K epch:17.65 loss:0.020 grdn:5.179 lr:4.3e-06 updt_s:0.460 data_s:0.005 smp/s:52 mem_gb:6.29 losses_after_forward:0.027 losses_after_in_ep_bound:0.018 losses_after_rm_padding:0.018
step:11K smpl:266K ep:1K epch:17.81 loss:0.021 grdn:4.669 lr:4.0e-06 updt_s:0.460 data_s:0.005 smp/s:52 mem_gb:6.29 losses_after_forward:0.026 losses_after_in_ep_bound:0.019 losses_after_rm_padding:0.019
step:11K smpl:269K ep:1K epch:17.98 loss:0.018 grdn:4.488 lr:3.7e-06 updt_s:0.459 data_s:0.005 smp/s:52 mem_gb:6.29 losses_after_forward:0.025 losses_after_in_ep_bound:0.017 losses_after_rm_padding:0.017
step:11K smpl:271K ep:1K epch:18.14 loss:0.018 grdn:4.447 lr:3.4e-06 updt_s:0.455 data_s:0.016 smp/s:51 mem_gb:6.24 losses_after_forward:0.025 losses_after_in_ep_bound:0.016 losses_after_rm_padding:0.016
step:11K smpl:274K ep:1K epch:18.30 loss:0.019 grdn:5.092 lr:3.2e-06 updt_s:0.460 data_s:0.005 smp/s:52 mem_gb:6.29 losses_after_forward:0.026 losses_after_in_ep_bound:0.017 losses_after_rm_padding:0.017
step:12K smpl:276K ep:1K epch:18.46 loss:0.019 grdn:4.441 lr:3.0e-06 updt_s:0.461 data_s:0.005 smp/s:52 mem_gb:6.29 losses_after_forward:0.025 losses_after_in_ep_bound:0.017 losses_after_rm_padding:0.017
step:12K smpl:278K ep:1K epch:18.62 loss:0.019 grdn:4.402 lr:2.8e-06 updt_s:0.460 data_s:0.005 smp/s:52 mem_gb:6.29 losses_after_forward:0.025 losses_after_in_ep_bound:0.017 losses_after_rm_padding:0.017
step:12K smpl:281K ep:1K epch:18.78 loss:0.020 grdn:4.318 lr:2.7e-06 updt_s:0.460 data_s:0.005 smp/s:52 mem_gb:6.29 losses_after_forward:0.028 losses_after_in_ep_bound:0.018 losses_after_rm_padding:0.018
step:12K smpl:283K ep:1K epch:18.94 loss:0.019 grdn:4.174 lr:2.6e-06 updt_s:0.461 data_s:0.005 smp/s:52 mem_gb:6.29 losses_after_forward:0.025 losses_after_in_ep_bound:0.017 losses_after_rm_padding:0.017
step:12K smpl:286K ep:1K epch:19.10 loss:0.018 grdn:3.949 lr:2.5e-06 updt_s:0.457 data_s:0.015 smp/s:51 mem_gb:6.24 losses_after_forward:0.024 losses_after_in_ep_bound:0.016 losses_after_rm_padding:0.016
step:12K smpl:288K ep:1K epch:19.26 loss:0.019 grdn:4.814 lr:2.5e-06 updt_s:0.460 data_s:0.005 smp/s:52 mem_gb:6.29 losses_after_forward:0.026 losses_after_in_ep_bound:0.017 losses_after_rm_padding:0.017
